Werknummer;Titel (Pflicht);Sonstiger Titel;Anzahl der mitwirkenden Musiker;Spieldauer in mm:ss;Verlag;Name Interpret 1 (ein Beteiligter ist Pflicht);Vorname Interpret 1;Name Komponist 1;Vorname Komponist 1;Name Textdichter 1;Vorname Textdichter 1;Name Bearbeiter 1;Vorname Bearbeiter 1;Name Interpret 2;Vorname Interpret 2;Name Komponist 2;Vorname Komponist 2;Name Textdichter 2;Vorname Textdichter 2;Name Bearbeiter 2;Vorname Bearbeiter 2;Name Interpret 3;Vorname Interpret 3;Name Komponist 3;Vorname Komponist 3;Name Textdichter 3;Vorname Textdichter 3;Name Bearbeiter 3;Vorname Bearbeiter 3
;Ruetz;;;;;Erwin Trojan;;;;;;;;;;;;;;;;;;;;;;;
;Ohne Rast;;;;;Erwin Trojan;;;;;;;;;;;;;;;;;;;;;;;
;Liebing Tanz mit mir;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;Ein Sprung nach Böhmen;;;;;E.Zsaisits;;;;;;;;;;;;;;;;;;;;;;;
;Gruß vom Stubaital;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;In der Kohlstatt;;;;;F.Pranger;;;;;;;;;;;;;;;;;;;;;;;
;Beim Pfarrwirt;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;Zillertaler Marsch;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;Wir sind Kinder von der Eger;;;;;Ernst Mosch;;;;;;;;;;;;;;;;;;;;;;;
;Die Kapelle hat gewonnen;;;;;Antonin Borovicki;;;;;;;;;;;;;;;;;;;;;;;
;Fliegermarsch;;;;;H.Dostal;;;;;;;;;;;;;;;;;;;;;;;
;Auf zum Start;;;;;W.Tuschla;;;;;;;;;;;;;;;;;;;;;;;
;Schützenliesl;;;;;Ben Bern;;;;;;;;;;;;;;;;;;;;;;;
;Freunde ja heute feiern wir;;;;;Heinz Lener;;;;;;;;;;;;;;;;;;;;;;;
;Serles Polka;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;Rosamunde;;;;;Jaomir Vejvoda;;;;;;;;;;;;;;;;;;;;;;;
;Schöne Serenade;;;;;Karel Kohut;;;;;;;;;;;;;;;;;;;;;;;
;Fuchsgraben Polka;;;;;Karel Vacek;;;;;;;;;;;;;;;;;;;;;;;
;Böhmischertraum;;;;;Norbert Gälle;;;;;;;;;;;;;;;;;;;;;;;
;Meine Heimat ist Tirol;;;;;Sepp Huter;;;;;;;;;;;;;;;;;;;;;;;
;Amsel Polka;;;;;Jaomir Vejvoda;;;;;;;;;;;;;;;;;;;;;;;
;Heuschober Polka;;;;;G.Weissbacher;;;;;;;;;;;;;;;;;;;;;;;
;Egerländer Musikantenmarsch;;;;;Ernst Mosch;;;;;;;;;;;;;;;;;;;;;;;
;Meine Heimatland;;;;;Sepp Neumayr;;;;;;;;;;;;;;;;;;;;;;;
;Kuschel Polka;;;;;Peter Schad;;;;;;;;;;;;;;;;;;;;;;;
;Arbetshaler Hügelland;;;;;Erwin Zsaitsits;;;;;;;;;;;;;;;;;;;;;;;
;Böhmischer Liebe;;;;;Mathias Rauch;;;;;;;;;;;;;;;;;;;;;;;
;Auf der Vogelwiese;;;;;Josef Ponca;;;;;;;;;;;;;;;;;;;;;;;
;Dem Land Tirol die Treue;;;;;Florian Perarnig;;;;;;;;;;;;;;;;;;;;;;;
